,sent_src,score_src,sum_src,sent_tgt,score_tgt,sum_tgt,score_diff,sum_diff,diff_pos
2592,"we simulated the 2-choices dynamics on 70 real-world networks , 25 of them taken from konect .",[0 0 0 1 0],1,"we applied this procedure on real-word networks , which have been taken from the stanford large network dataset collection snap .",[0 0 0 0 0],0,1,1,3
2594,"for the heavier gravitino , there is a very small region which is compatible with the bounds from the stau nlsp and the muon g 2 .",[1 1 0 0 0],2,"if the gravitino is the lightest supersymmetric particle , it is stable and therefore represents a good dark matter candidate .",[1 0 0 0 0],1,1,1,1
2603,the geometry transverse to the 5-branes is a long tube which opens up into the asymptotic flat space region with the horizon at the other end .,[1 1 0 0 0],2,the geometry we consider is a one-dimensional ring with an attached bubble and a lead connected to a reservoir at chemical potential µ .,[0 1 0 0 0],1,1,1,0
2605,"convolutional neural networks have achieved great success in many fields , such as object classification , face recognition .",[0 1 0 0 0],1,"recently , convolutional neural networks -based methods achieve great success in image classification tasks .",[0 0 0 0 0],0,1,1,1
2610,energy harvesting is a promising technology to provide self-sustainability to power-constrained communication devices .,[1 1 0 0 0],2,harvesting energy from the environment has emerged as a promising solution for prolonging the lifetime of energy-constrained devices in wireless communication systems .,[1 0 0 0 0],1,1,-1,1
2613,the problem of sparse signal recovery and the related problem of compressed sensing have received much attention in recent years .,[1 1 1 0 0],3,recent developments in the areas of sampling theory and numerical optimization have recently given rise to the novel sampling framework of compressed sensing .,[0 1 1 0 0],2,1,-1,0
2616,deep learning has been proven to achieve promising results in different research problems such as face recognition .,[0 1 0 0 0],1,recent research has shown that deep convolutional neural networkcan achieve human-competitive accuracy on various image recognition tasks .,[0 0 0 0 0],0,1,-1,1
2618,deep convolutional neural networks have made significant breakthroughs in many visual understanding tasks including image classification .,[0 1 0 0 0],1,"in recent years , convolutional neural networks have demonstrated the state-of-the-art performance in visual recognition tasks .",[0 0 0 0 0],0,1,-1,1
2622,"deep neural networks trained in an end-to-end fashion have resulted in exceptional advances in computational perception , especially in object detection .",[1 1 1 0 0],3,convolutional neural networks have been the driving factor behind the recent advances in object detection .,[1 1 0 0 0],2,1,-1,2
2628,"damage models are also analytically investigated in and , there , existence , uniqueness and regularity properties are shown .",[1 1 0 1 1],4,"higher dimensional damage models are analytically investigated in and , there , existence and regularity properties are shown .",[1 1 0 1 0],3,1,-1,4
2632,"deep neural networks are powerful learning models which have been successfully applied to vision , speech and many other tasks .",[1 1 0 0 0],2,"deep learning has brought significant breakthroughs in many computer vision tasks , including object detection .",[0 1 0 0 0],1,1,-1,0
2635,the notion of a vertex algebra was introduced by borcherds among many other works .,[1 0 0 0 0],1,"mathematically the underlying concept of a vertex algebra was introduced by borcherds , .",[0 0 0 0 0],0,1,-1,0
2637,string theory is a natural framework to talk about all of the issues i have raised above .,[1 1 0 0 0],2,"more importantly , string theory is a perfectly quantum mechanical theory which does include gravity .",[0 1 0 0 0],1,1,1,0
2638,these systems are related with the different parametrisations of one geometric object .,[1 1 0 0 0],2,these transformations give rise to the shift of the lax matrices .,[0 1 0 0 0],1,1,-1,0
2641,the formalism for studying the dynamics of constrained systems was discovered by dirac .,[1 0 1 0 0],2,"the theory of constrained hamiltonian system was introduced by dirac , and extended by him to general relativity .",[1 0 0 0 0],1,1,-1,2
2649,underlying this idea there is the concept of distance between two unitary gates .,[1 1 0 0 0],2,the underlying idea is the repeated application of the inclusion-exclusion principle to obtain a decomposition of orbit pairs into sets of which only a relatively small proportion gives nonzero contribution .,[0 1 0 0 0],1,1,-1,0
2650,"convolutional neural networks are widely used for solving artificial intelligence problems , such as object and voice recognition , scene labeling and others .",[1 1 0 0 0],2,deep neural networks have been shown to outperform shallow learning algorithms in applications such as computer vision .,[0 1 0 0 0],1,1,-1,0
2662,deep neural networks have achieved a great success on many tasks such as image classification when a large set of labeled examples are available .,[0 1 0 0 0],1,"in parallel , deep convolutional neural networks have proven their effectiveness in many computer vision fields such as object classification .",[0 0 0 0 0],0,1,1,1
2664,"inflation is a powerful framework for understanding the early universe , in particular the spectrum of density perturbations that led to structure formation and to anisotropies in the cosmic microwave background .",[1 1 0 0 0],2,the paradigm of cosmic inflation is stunningly successful in explaining the flatness and homogeneity of our universe as well as the approximately scale invariant inhomogeneities in the cosmic microwave background .,[0 1 0 0 0],1,1,1,0
2667,the asterisks denote the time lags for which the absolute value of the correlation is largest .,[1 1 1 0 0],3,"asterisks denote hls galaxies , all of which have no hblrs .",[1 1 0 0 0],2,1,1,2
2677,"deep learning has recently had a remarkable impact on multiple domains , including natural language processing and computer vision .",[0 1 0 0 0],1,deep learning has contributed to dramatic advances in scalability and performance of machine learning .,[0 0 0 0 0],0,1,1,1
2689,deep convolutional neural networks have been proven very useful in various tasks in computer vision including classification .,[1 1 0 0 0],2,deep neural networks have been significantly successful in many artificial intelligence tasks such as im- age classification .,[0 1 0 0 0],1,1,1,0
2693,the spacetime is a perturbed friedmann-robertson-walker universe .,[1 1 0 0 0],2,"the spacetime is a product r1,1 is a compact spin turn implies that locally manifold .",[1 0 0 0 0],1,1,-1,1
2696,the decoherence rates that are optimal to the ete are found by numerical simulation of the equation of motion .,[1 1 1 0 0],3,the local dephasing rates that optimizes the transfer efficiency are given by numerical simulation .,[0 1 1 0 0],2,1,-1,0
2697,"more general , in traditional multi-view geometry framework , multiple cameras in different poses are defined as a set of unconstrained rays , which is known as generalized camera model .",[1 1 1 0 0],3,"moreover , in traditional multi-view geometry , multiple cameras in different poses are defined as a set of unconstrained rays , which is known as as generalized camera model .",[1 1 0 0 0],2,1,-1,2
2701,this arrange- drawing inspiration from biological neurons to implement machine learning was the topic of the first paper presented at the first machine learning conference in 1955 .,[1 1 1 0 0],3,t h e o u t p u t group was further drawing inspiration from biological neurons to implement machine learning was the topic of the first paper presented at the first machine learning conference in 1955 .,[0 1 1 0 0],2,1,-1,0
2705,neural networks recently have been used to solve many real-world tasks such as image recognition and can achieve high effectiveness on these tasks .,[0 1 0 0 0],1,"convolutional neural networks have achieved tremendous progress on many pattern recognition tasks , especially large-scale images recognition problems .",[0 0 0 0 0],0,1,-1,1
2711,"when the orbit is a collection of line segments , such an unfolding will be a straight line .",[1 1 0 1 0],3,"each orbit consists of a square-free word and its images under permutation of letters , and each letter has the same mean frequency on this orbit .",[1 1 0 0 0],2,1,1,3
2719,we use an implementation of regression trees from the scikit-learn machine learning module in python .,[0 1 0 0 0],1,"we train a logistic regression model with l2 regularization , implemented with the python scikitlearn package .",[0 0 0 0 0],0,1,-1,1
2722,deep neural networks have shown great success in computer vision and natural language processing tasks .,[0 1 0 0 0],1,convolutional neural networks have achieved state-of-the-art results on several computer vision tasks .,[0 0 0 0 0],0,1,1,1
2727,methods like variational auto-encoders and generative adversarial networks have found success at modeling data distributions .,[0 1 1 0 0],2,generative models such as variational autoencoders and generative adversarial networks have emerged as popular techniques for unsupervised learning of intractable distributions .,[0 0 1 0 0],1,1,1,1
2733,"recently , inspired by the success of convolutional neural networks in many computer vision problems , deep cnn architectures have been widely used for person re-id .",[1 1 0 1 0],3,"inspired by these high-capacity models in deep learning , some deep embedding models have been developed for person re-id to learn representations against visual variations .",[0 1 0 1 0],2,1,1,0
2736,the low energy properties of one-dimensional quantum systems are commonly described in the framework of the so-called tomonaga-luttinger liquid .,[1 1 1 0 0],3,these systems are commonly described theoretically in the framework of the tomonaga-luttinger liquid theory .,[1 1 0 0 0],2,1,-1,2
2741,"with the success of deep learning , convolutional neural network has been applied successfully in this domain .",[1 1 0 0 0],2,deep neural networks have been proven impressively successful on certain supervised learning tasks .,[0 1 0 0 0],1,1,1,0
2748,"gliese 570d because it is a companion to a well-studied main sequence star , gl 570d has the most precisely determined physical parameters of any t dwarf to date .",[1 1 1 0 0],3,"gliese 337cd is a particularly vital case , as the physical parameters of the substellar components can be constrained by the properties of the stellar primaries .",[1 1 0 0 0],2,1,1,2
2749,performing two inverse fourier transforms yields the sought waveforms of acoustic response in the time-space domain .,[0 1 0 0 0],1,two inverse fourier transforms in frequency and circumferential wave number yield the sought waveforms of acoustic response in the time-space domain .,[0 0 0 0 0],0,1,1,1
2752,for higher values the coupling minimum of the minimum of the potential tends to disappear .,[1 1 1 0 0],3,for higher values of the coupling the minimum tends to disappear .,[1 1 0 0 0],2,1,1,2
2756,"the identification of each field together with its galacto centric distance , in kpc , are labeled in top-left corner .",[1 1 1 0 0],3,the galactocentric distances in kpc of each field are labeled on the top-left corner .,[1 1 0 0 0],2,1,-1,2
2762,"such analysis can help to quantitatively refute , for instance , claims that bnns are intrinsically more robust , as suggested in prior work .",[0 0 0 0 1],1,"in particular , prior work has claimed that plain bnns are possibly more robust than hardened models-one can quantitatively verify such claims .",[0 0 0 0 0],0,1,-1,4
2769,"as a result , physical layer security has been proposed as a complement to the traditional methods for improving wireless transmission security .",[1 1 0 0 0],2,"as an alternative , physical layer security utilizes the physical properties of wireless communication channels , such as interference and channel fading , for ensuring perfectly secure communication .",[1 0 0 0 0],1,1,-1,1
2770,"during the last decade , deep learning algorithms , especially convolutional neural networks have achieved remarkable progress on numerous practical vision tasks .",[0 0 0 0 1],1,"in the last decade , convolutional neural networks have shown state of the art accuracy on a variety of visual recognition tasks such as image classification .",[0 0 0 0 0],0,1,-1,4
2777,bayesian state estimation has a wide range of applications from positioning .,[1 1 0 0 0],2,bayesian estimation has a wide range of applications from positioning .,[0 1 0 0 0],1,1,1,0
2788,let us now turn our attention to this class of gravity models .,[0 1 0 0 0],1,let us now consider each of these in turn .,[0 0 0 0 0],0,1,-1,1
2795,"deep convolutional neural networks have achieved great success in dealing with computer vision problems , such as image classification , object detection and semantic segmentation , etc .",[0 1 0 0 0],1,"deep convolutional neural networks have achieved huge success in solving problems related to computer vision , such as image classification .",[0 0 0 0 0],0,1,-1,1
2796,computing the whole lasso regularization path can be done via the lars algorithm .,[1 1 0 0 0],2,the objective functions can be easily solved by the lars algorithm with minimal computation cost on the master .,[1 0 0 0 0],1,1,-1,1
2801,"in , the gru was found to achieve better performance than the lstm on some tasks .",[1 1 0 0 0],2,"in , a gru architecture was found to achieve better performance than lstm on some tasks .",[0 1 0 0 0],1,1,-1,0
2812,"the generalized notions , hom-bialgebras , hom-hopf algebras were developed in .",[1 1 1 0 0],3,"in this way , the notion of hom-leibniz algebra was firstly introduced in .",[1 1 0 0 0],2,1,1,2
2821,"to extrapolate the proton dipole correlator to a nucleus , we use , as in ref , the optical glauber model .",[0 0 0 1 0],1,"in this case we use , as in ref , the glauber approach to get the initial condition for a nucleus from the one of a proton .",[0 0 0 0 0],0,1,-1,3
2823,"this to warm up , let us first rephrase the seminal lsd results in this language .",[1 0 0 0 0],1,"to begin , let us rephrase the seminal capacity results in this language .",[0 0 0 0 0],0,1,1,0
2825,the perdew-burke-ernzehof form of the generalized gradient approximation is used to describe electron exchange and correlation .,[0 1 1 0 0],2,the generalized gradient approximation corrected functional by perdew et al is used for the exchange-correlation potential .,[0 0 1 0 0],1,1,1,1
2826,we thus arrive at the following conclusion .,[0 1 0 0 0],1,"however , we have the following easy result .",[0 0 0 0 0],0,1,-1,1
2832,the map between the non-commutative description and the ordinary description is called seiberg-witten map .,[1 1 1 0 0],3,such forms of the metric are related to the so-called seiberg-witten limit .,[1 1 0 0 0],2,1,1,2
2838,deep neural networks are being successful in accomplishing challenging tasks such as image classification .,[0 1 0 0 0],1,"deep neural networks have recently proven successful at various tasks , such as computer vision , speech recognition , and in other domains .",[0 0 0 0 0],0,1,1,1
2841,"deep neural networks are responsible for numerous state-of-the-art results in a variety of domains , including computer vision , speech recognition , and natural language processing .",[0 1 0 0 0],1,"neural networks have transformed machine learning , forming the backbone of models for tasks in computer vision , natural language processing , and robotics , among many other domains .",[0 0 0 0 0],0,1,1,1
2844,"the lie subalgebra tn of gln , consisting all the diagonal n by n matrices , is called cartan subalgebra .",[1 1 0 0 1],3,the cartan subalgebra consists of the diagonal generators λ3 and λ8 .,[1 1 0 0 0],2,1,1,4
2846,"along this direction , convolutional neural networks have been very successful in various computer vision and natural language processing tasks in recent years .",[0 1 0 0 0],1,"i n recent years , deep convolutional neural networks have demonstrated an outstanding capability in various computer vision tasks , such as image classification .",[0 0 0 0 0],0,1,1,1
2851,"in recent years , deep convolutional neural networks have proven to be highly effective general models for a multitude of computer vision problems .",[1 1 0 0 0],2,"among them , convolutional neural networks have been demonstrated to be extremely successful in computer vision .",[0 1 0 0 0],1,1,-1,0
2854,convolutional neural networks have been extremely successful across many domains in machine learning and computer vision .,[0 1 0 0 0],1,"deep convolutional neural networks have enabled unparalleled breakthroughs in a variety of visual tasks , such as image classification .",[0 0 0 0 0],0,1,1,1
2864,deep convolutional neural networks have made significant breakthroughs in many visual understanding tasks including image classification .,[0 1 0 0 0],1,convolutional neural networks have shown remarkable performance in domains like vision and nlp .,[0 0 0 0 0],0,1,-1,1
2865,"our method differs from earlier investigations , in which the authors directly compared the properties of the two lines .",[1 1 1 0 0],3,"note that our method differs from earlier investigations , in which the authors directly compared the properties of the two lines .",[1 1 0 0 0],2,1,-1,2
2873,this method was employed in the spectacular proof of the riemannian penrose inequality in general relativity due to huisken and ilmanen .,[1 1 0 0 0],2,this flow has been used by huisken and ilmanen to prove the riemannian penrose inequality in general relativity .,[1 0 0 0 0],1,1,1,1
2884,"exchange and correlations are considered in the generalized gradient approximation , following the perdew-burke-ernzerhof parametrization scheme .",[1 1 0 0 0],2,the perdew-burkeernzerhof generalized-gradient approximation is employed to describe the exchange and correlation functional .,[0 1 0 0 0],1,1,1,0
2897,"computer vision in particular has witnessed the development of multiple successful models , based on convolutional neural networks , for tasks such as classification .",[1 1 0 0 0],2,"deep learning has brought significant breakthroughs in many computer vision tasks , including object detection .",[0 1 0 0 0],1,1,-1,0
2899,"however , to perform the integration over the moduli space properly , we should introduce the contact terms .",[0 0 0 1 0],1,"to cancel the tadpole , we should calculate other euler number zero partition functions .",[0 0 0 0 0],0,1,1,3
2902,a case for which differential calculi have been worked out is the structure of q-deformed quantum spaces .,[1 1 1 0 0],3,the noncommutative geometry of quantum groups is usually discussed in terms of covariant differential calculi .,[1 1 0 0 0],2,1,1,2
2916,"in the last two years , the performance of object detection has been significantly improved with the success of novel deep convolutional neural networks .",[1 0 0 0 0],1,"in recent years , deep neural networks have demonstrated impressive performance improvements on a wide range of challenging machine learning tasks .",[0 0 0 0 0],0,1,1,0
2919,"in the last two years , the performance of object detection has been significantly improved with the success of novel deep convolutional neural networks .",[1 0 0 0 0],1,"in the past few years , deep convolutional neural networks have shown promising results on object detection .",[0 0 0 0 0],0,1,1,0
2933,"this point of view is forcefully suggested in , where a mapping is proposed between ordinary and non-commutative gauge fields which do not preserve the gauge groups but preserve the gauge equivalent classes .",[1 1 0 1 0],3,in a mapping is proposed between ordinary and non-commutative gauge fields which do not preserve the gauge groups but preserve the gauge equivalent classes .,[1 1 0 0 0],2,1,-1,3
2954,this so-called gabriel-roiter measure on module categories was further studied by ringel in in the representation-infinite case .,[1 0 1 0 0],2,"the notion of gabriel-roiter measure , an invariant assigned to any module of finite length , was defined by gabriel and ringel .",[0 0 1 0 0],1,1,1,0
2961,state of the art methods for face recognition use face embeddings generated by a deep convolutional neural network .,[1 1 0 0 0],2,"recently , deep convolutional neural networks are widely applied to face recognition and provide state-of-the-art performance .",[0 1 0 0 0],1,1,1,0
2968,the contribution to the power spectrum of cosmological perturbations is scale-invariant .,[1 1 1 0 0],3,the power spectrum of the string-induced fluctuations is approximately scale-invariant .,[0 1 1 0 0],2,1,1,0
2974,"like residual networks , the architecture also has many one-step skip connections .",[1 1 0 0 0],2,this architecture is motivated by resnet where the network has skip connections .,[1 0 0 0 0],1,1,1,1
2976,ryu and takayanagi have provided a proposal to compute the entanglement entropy of cfts from the minimal area surface in gravity side .,[0 1 0 0 0],1,"in 2006 , ryu and takayanagi proposed that the quantum entanglement entropy can be directly obtained from minimal surface .",[0 0 0 0 0],0,1,1,1
2980,"the spin-polarized density functional theory calculations were carried out by using the projector augmented wave method 26 , 27 as implemented in the vienna ab initio simulation package .",[1 1 0 0 0],2,"calculations were carried out employing spin-polarized hse06 and pbe-gga based dft methods using the projector augmented wave method 27 , as implemented in the vienna ab initio simulation package .",[0 1 0 0 0],1,1,-1,0
2988,local f-theory model buildings have been emphasized in recent studies .,[1 0 0 0 0],1,recent studies have mainly considered local models in f-theory model building .,[0 0 0 0 0],0,1,1,0
2990,"when the mass parameters of the puncture are set to zero , x is nilpotent , and the orbit is called a nilpotent orbit .",[1 1 0 1 0],3,consequently the orbit is a conic section .,[1 1 0 0 0],2,1,-1,3
2993,"in single-cell experiments , it was consistently observed that the mrna decays substantially faster relative to its protein counterpart .",[1 1 0 1 0],3,"experimentally , it has been consistently observed that the mrna decays substantially faster than its protein counterpart .",[1 1 0 0 0],2,1,-1,3
2995,deep convolutional neural networks have made significant breakthroughs in many visual understanding tasks including image classification .,[0 1 0 0 0],1,deep neural networks have garnered interest from many researchers after being successfully applied in image classification .,[0 0 0 0 0],0,1,-1,1
2996,"in recent years , deep convolutional neural networks have been shown to be exceptionally effective for image classification .",[0 1 0 0 0],1,convolutional neural networks have achieved remarkable success in many computer vision domains such as classification .,[0 0 0 0 0],0,1,1,1
3006,r egion-based approaches with convolutional neural networks have achieved great success in object detection .,[0 0 1 0 0],1,region-based approaches with convolutional neural networks have achieved great success in object detection .,[0 0 0 0 0],0,1,1,2
3013,"polytope 4552 is the pentagonal prism , which is rigid by theorem 4 point 3 .",[1 1 0 0 0],2,the integer k guaranteed by this theorem is called the characteristic of the ordinary polytope .,[0 1 0 0 0],1,1,1,0
3014,"here , the signal corresponds to excited-state absorption and not the ground state bleaching .",[1 1 0 0 0],2,"in the present case , the negative signal corresponds to excited-state absorption and not the ground state bleaching .",[0 1 0 0 0],1,1,1,0
3015,"large-scale deep neural networks or dnns have made breakthroughs in many fields , such as image recognition .",[0 1 0 0 0],1,"deep neural networks have achieved state-of-the-art performance in many application areas , such as computer vision and natural language processing .",[0 0 0 0 0],0,1,-1,1
3027,"this geometry is the area covered by the imaging , by the set of survey tiles , and not near tycho stars .",[1 1 0 0 0],2,"such a geometry is a physical geometry , ie it is described completely by the world function , which is a half of the squared distance function .",[1 0 0 0 0],1,1,-1,1
3047,thistlethwaite gave an expansion of the jones polynomial v l in terms of spanning trees t of g .,[0 1 0 0 0],1,thistlethwaite described an expansion of the jones polynomial in terms of spanning trees of the tait graph .,[0 0 0 0 0],0,1,-1,1
3055,the terminal t is the lexical head of its constituent .,[0 1 0 0 0],1,we assume now that the terminal is a diffusive metal of negligible resistance .,[0 0 0 0 0],0,1,-1,1
3058,of the cycle and the forewing in its downstrokeis responsible for the large .,[1 1 0 0 0],2,the hindwing in its downstroke is responsible for the large .,[0 1 0 0 0],1,1,-1,0
3062,"deep neural networks have shown improvement in state-of-the-art in different tasks , such as image classification .",[0 1 0 0 0],1,"recently , deep neural networks have demonstrated impressive results in image classification .",[0 0 0 0 0],0,1,-1,1
3063,"as indicated in , the process times of many parallel jobs , in particular , jobs to data centers , tend to be non-exponential .",[1 1 0 0 1],3,"as indicated in , the process lifetime of many parallel jobs , in particular , jobs to data centers , tends to be non-exponential .",[1 1 0 0 0],2,1,1,4
3069,"in addition , this performance is impacted by the low energy sensitivity and rf-to-direct current rectification efficiency .",[1 0 0 0 0],1,"in addition , swipt performance is impacted by the low energy sensitivity and rf-to-direct current rectification efficiency .",[0 0 0 0 0],0,1,1,0
3076,"the collection of cts over m , ie the image of γ , is called the central sphere congruence on m .",[1 1 0 0 1],3,the quantity σ is called shear of the null congruence .,[1 1 0 0 0],2,1,1,4
3077,deep neural networks have given rise to major advancements in many problems of machine intelligence .,[0 1 0 0 0],1,deep convolutional neural networks have led to major breakthroughs in many computer vision tasks .,[0 0 0 0 0],0,1,1,1
3087,generative adversarial networks have recently become a prominent method to learn high-dimensional probability distributions .,[1 1 0 0 0],2,generative adversarial networks have been very successful in learning probability distributions .,[0 1 0 0 0],1,1,-1,0
3088,the corresponding optimization problem can be solved through a coordinate descent algorithm .,[1 1 0 0 0],2,"furthermore , the coordinate descent algorithm can be employed to further improve the computational efficiency of solving .",[0 1 0 0 0],1,1,1,0
3089,machine learning methods built on deep neural networks have had unparalleled success across a dizzying array of tasks ranging from image recognition to speech recognition and synthesis .,[0 1 0 0 0],1,"deep neural networks have demonstrated success in many machine learning tasks , including image recognition , speech recognition , and even modelling mathematical learning , among many other domains .",[0 0 0 0 0],0,1,1,1
3095,neural networks have been proven effective in several domains such as image classification .,[0 1 0 0 0],1,neural networks have enjoyed great success in many practical applications .,[0 0 0 0 0],0,1,-1,1
3104,convolutional neural networks have recently been applied to various computer vision tasks such as image classification .,[1 1 0 0 0],2,"over the past decade , deep neural networks has been a game changer in various areas of machine learning research , such as computer vision .",[0 1 0 0 0],1,1,1,0
3105,neural network-based architectures have recently had great success in significantly advancing the state of the art on challenging image classification and object detection datasets .,[0 1 0 0 0],1,"deep convolutional neural networks have achieved great success in various computer vision tasks , including object classification .",[0 0 0 0 0],0,1,1,1
3115,"deep learning has brought significant breakthroughs in many computer vision tasks , including object detection .",[0 1 0 0 0],1,deep learning or deep neural networks have achieved extraordinary performance in many application domains such as image classification .,[0 0 0 0 0],0,1,1,1
3118,"in recent years , the development of deep convolutional neural networks has made notable progress in providing accurate segmentation results .",[0 1 0 0 0],1,"image segmentation has attracted a lot of attention in the recent years , and has achieved great progress with the success of deep neural networks .",[0 0 0 0 0],0,1,1,1
3129,"two popular attack algorithms , namely , fast gradient sign method and the carlini and wagner attack are used to generate adversarial examples .",[1 1 0 0 1],3,"several different approaches have been proposed for generating adversarial examples , including fast gradient-based methods .",[1 1 0 0 0],2,1,-1,4
3133,convolutional neural networks have been trained to achieve near human-level performance on object detection .,[0 1 0 0 0],1,"recently , deep convolutional neural networks have attracted a lot of attention in visual recognition , largely due to their excellent performance .",[0 0 0 0 0],0,1,-1,1
3134,"based on this labeling , justin et al proposed a fully convolutional localization network to jointly generate finer level of regions and captions .",[1 0 0 0 0],1,"based on this dataset , johnson et al proposed the dense caption task , which aims to generate sophisticated lever of regions of interest in an image , and describe each region by a sentence .",[0 0 0 0 0],0,1,-1,0
3135,one of the most popular defenses against adversarial examples for neural networks is adversarial training .,[1 1 1 0 0],3,training the neural network with adversarial examples is a popular defense method .,[1 1 0 0 0],2,1,-1,2
3138,so the density wave must be considered in the relativistic region .,[1 1 0 0 0],2,thus the density wave effects should be considered .,[0 1 0 0 0],1,1,1,0
3139,"predictions using two such models , referred to as model f , were evaluated for d .",[1 1 0 0 1],3,"predictions using two such models , referred to as model f , were employed with parameters for d .",[1 1 0 0 0],2,1,-1,4
3140,convolutional neural networks have recently been applied to various computer vision tasks such as image classification .,[1 1 0 0 0],2,deep learning has made an enormous impact on many applications in computer vision such as generic object recognition .,[0 1 0 0 0],1,1,1,0
3141,"since direct effects of astrophysical ionizing radiation on the ground are poorly understood , we will only be able to comment qualitatively on them .",[0 1 0 1 0],2,"since impacts have been relatively much more extensively studied than ionizing radiation events , we will restrict our attention to the latter .",[0 0 0 1 0],1,1,-1,1
3153,"in the special case when v arises from a time-invariant nonlinear control system , the complexity of our algorithm agrees with that of the well-known gs algorithm .",[0 0 0 1 0],1,our algorithm therefore performs as well as the gs algorithm in the special case when distribution v happens to arise from a time-invariant control system .,[0 0 0 0 0],0,1,1,3
3154,two of the most commonly used and efficient approaches are vae and generative adversarial networks .,[1 1 1 0 0],3,it is worth noting that there have been some attempts to apply deep generative models including vaes and generative adversarial networks .,[1 1 0 0 0],2,1,-1,2
3161,"neutralino is the lightest stable supersymmetric particle in most models , so we focus on detection prospects of such a candidate , working either in the mssm or in the msugra frameworks .",[1 1 0 1 0],3,the neutralino is the lightest supersymmetric partner and is stable under r-conservation .,[1 1 0 0 0],2,1,1,3
3170,supergravity is the best framework within which both quintessence and inflation can be described .,[1 1 0 0 0],2,"supergravity is a motivation because its minimal multiplet has barely the number of degrees of freedom to store the information of the supersymmetric standard model , except for the higgs .",[0 1 0 0 0],1,1,-1,0
3173,"various conventional devices such as gratings , lenses , holograms , and planar filter arrays have been demonstrated using metasurfaces .",[1 1 0 0 1],3,many different optical components such as lenses have been demonstrated using metasurfaces .,[1 1 0 0 0],2,1,1,4
3187,the optical and electronic properties of one-dimensional materials have been an important subject in the field of condensed matter physics .,[1 1 1 0 0],3,electronic properties of low-dimensional systems have been the focus of intense research for several decades .,[1 1 0 0 0],2,1,-1,2
3188,"since every interval of t is a subinterval of some interval in pj , we conclude that t is contained in at most k intervals j be the top k intervals in pj .",[1 1 0 1 0],3,for every interval i of a we denote by mi the sub-structure of m with domain i .,[1 1 0 0 0],2,1,-1,3
3189,"recently , many neural network models based on convolutional neural network exhibited excellent performances in various visual tasks such as image classification .",[0 0 1 0 0],1,"in recent years , deep convolutional networks have achieved remarkable results in many computer vision tasks .",[0 0 0 0 0],0,1,1,2
3201,we perform the optimization of the χ 2 -values by using a powell minization method .,[0 1 0 0 0],1,"furthermore , we calculate the exponents by the ordinary least square method .",[0 0 0 0 0],0,1,1,1
3202,a robust and widely used method for discovering topics is latent dirichlet allocation .,[1 1 1 0 0],3,latent dirichlet allocation is one of the most popular and well-known topic models .,[1 1 0 0 0],2,1,1,2
3203,"supervised training of deep convolution networks is clearly highly effective for image classification , as shown by results on imagenet .",[0 1 0 0 0],1,"recently , convolutional neural networks -based methods achieve great success in image classification tasks .",[0 0 0 0 0],0,1,1,1
3225,it has high performance when interrupt driven .,[0 1 0 0 0],1,it handles multiple adapters simultaneously .,[0 0 0 0 0],0,1,1,1
3235,the use of millimeter-wave frequencies for cellular communications is one of the key technologies for greatly improving the capacity of future wireless networks .,[1 1 1 0 0],3,"millimeter waves , for cellular communications , is one of the main technological innovations brought by fifth generation wireless networks .",[1 1 0 0 0],2,1,1,2
3246,lcd codes can be used against side-channel attacks and fault noninvasive attacks .,[1 1 0 0 0],2,lcd codes can be used to protect information against side channel attacks .,[0 1 0 0 0],1,1,1,0
3256,"since f -gravity is a gauge theory , like general relativity , it is crucial the choice of suitable coordinates in order to correctly formulate the problem .",[1 1 0 1 0],3,"if gravity is a classical phenomenon , as has been claimed for the de sitter space generated by λ0 , then the proposed mechanism can be regarded to have naturalized the ccp since determination of λ0 , in isolation , 20 from cosmological observations involves no fine-tuning at all .",[0 1 0 1 0],2,1,-1,0
3260,the enhancement is a result of interchanging resonances between neutrino and antineutrino ensembles due to resonance waves passing through the neutrino and antineutrino spectrum .,[1 1 0 0 0],2,this enhancement is a clear indication of a long-range effect in the theory that may result in color confinement .,[0 1 0 0 0],1,1,-1,0
3269,"among them , convolutional neural networks have been demonstrated to be extremely successful in computer vision .",[0 1 0 0 0],1,deep convolutional neural networks have led to a series of breakthrough for visual tasks .,[0 0 0 0 0],0,1,1,1
3273,the bypass connection structure has proven powerful in various computer vision tasks .,[1 1 0 0 0],2,the residual networks have shown excellent performances in many computer vision tasks .,[0 1 0 0 0],1,1,1,0
3275,"especially , many approaches based on convolutional neural networks made significant advances in large-scale image classification .",[0 1 0 0 0],1,"very recently , deep convolutional neural networks have demonstrated promising results for single-label image classification .",[0 0 0 0 0],0,1,-1,1
3283,"the definition of the rees algebra of a finitely generated module m , due to , is in terms of maps from m to free modules .",[1 1 1 0 0],3,"then the rees algebra of the module m is defined to be the image of the natural homomorphism from sym a to sym a , which is a subalgebra of the polynomial ring over a .",[1 1 0 0 0],2,1,-1,2
3299,"the 4he nucleus is a good test case , because an exact four-body calculation can be carried out .",[1 1 0 0 0],2,"this nucleus perhaps is the most likely candidate for having a proton halo structure , as its last proton has a binding energy of only 137 kev .",[0 1 0 0 0],1,1,1,0
